COUNT    | LINE
       1 | 140118
       1 | 140243
       1 | 1404705
       1 | 140751
       1 | 140757
       1 | 140894
       1 | 140933
       1 | 141007
       1 | 141124
       1 | 141133
       1 | 141283
       1 | 141335
       1 | 141340
       1 | 1414399
       1 | 141467
       1 | 141594
       1 | 141605
       1 | 141606
       1 | 141667
       1 | 141829
       1 | 141962
       1 | 142065
       1 | 142296
       1 | 142379
       1 | 1424519
       1 | 1427108
       1 | 142816
       1 | 142834
       1 | 143225
       1 | 143399
       1 | 143500
       1 | 143696
       1 | 144095
       1 | 144350
       1 | 144712
       1 | 144811
       1 | 145427
       1 | 1454727
       1 | 145787
       1 | 146225
       1 | 1469703
       1 | 1470661
       1 | 147088
       1 | 1470997
       1 | 147294
       1 | 147366
       1 | 149009
       1 | 149058
       1 | 1491404
       1 | 149538
       1 | 150080
       1 | 150200
       1 | 150201
       1 | 151446
       1 | 152275
       1 | 152298
       1 | 153036
       1 | 1531619
       1 | 153190
       1 | 153231
       1 | 153567
       1 | 1536587
       1 | 1538576
       1 | 154186
       1 | 154262
       1 | 154510
       1 | 154673
       1 | 154922
       1 | 155291
       1 | 155419
       1 | 157335
       1 | 1574784
       1 | 1575054
       1 | 1575901
       1 | 157863
       1 | 158203
       1 | 1594383
       1 | 159547
       1 | 162433
       1 | 1630060
       1 | 163104
       1 | 1633441
       1 | 163419
       1 | 163452
       1 | 164023
       1 | 164029
       1 | 165767
       1 | 166045
       1 | 166076
       1 | 166517
       1 | 1668547
       1 | 168272
       1 | 170923
       1 | 171525
       1 | 172065
       1 | 172096
       1 | 172673
       1 | 173519
       1 | 173544
       1 | 173829
       1 | 175418
       1 | 175584
       1 | 175686
       1 | 176551
       1 | 176552
       1 | 177105
       1 | 177923
       1 | 178797
       1 | 179635
       1 | 180305
       1 | 180825
       1 | 182119
       1 | 182799
       1 | 1831596
       1 | 1831768
       1 | 1837947
       1 | 183941
       1 | 1844439
       1 | 184526
       1 | 184566
       1 | 1849793
       1 | 1851687
       1 | 1856372
       1 | 186063
       1 | 1861644
       1 | 1870282
       1 | 188999
       1 | 1894159
       1 | 190047
       1 | 190292
       1 | 191026
       1 | 191234
       1 | 191367
       1 | 192667
       1 | 193101
       1 | 195708
       1 | 196653
       1 | 196656
       1 | 199506
       1 | 199558
       1 | 201333
       1 | 202039
       1 | 202599
       1 | 203223
       1 | 203494
       1 | 207202
       1 | 209888
       1 | 209992
       1 | 210286
       1 | 211394
       1 | 213691
       1 | 214585
       1 | 215398
       1 | 217151
       1 | 217595
       1 | 217777
       1 | 218332
       1 | 219891
       1 | 221934
       1 | 223576
       1 | 223642
       1 | 2239762
       1 | 225244
       1 | 229854
       1 | 230126
       1 | 235998
       1 | 249677
       1 | 2517206
       1 | 2549836
       1 | 257782
       1 | 258682
       1 | 261157
       1 | 261303
       1 | 261354
       1 | 264130
       1 | 265239
       1 | 265256
       1 | 269999
       1 | 272855
       1 | 281265
       1 | 281353
       1 | 286415
       1 | 2991940
       1 | 323964
       1 | 3522131
       1 | 357222
       1 | 364243
       1 | 369875
       1 | 370706
       1 | 375138
       1 | 379564
       1 | 381451
       1 | 383663
       1 | 397826
       1 | 414765
       1 | 418233
       1 | 424813
       1 | 4252589
       1 | 4383822
       1 | 4442983
       1 | 4489571
       1 | 4498930
       1 | 4598074
       1 | 461106
       1 | 483683
       1 | 483899
       1 | 487358
       1 | 492462
       1 | 492654
       1 | 493546
       1 | 495870
       1 | 496313
       1 | 497551
       1 | 500665
       1 | 5008781
       1 | 501487
       1 | 636973
       1 | 677844
       1 | 679604
       1 | 680750
       1 | 680893
       1 | 695006
       1 | 696654
       1 | 697481
       1 | 698830
       1 | 700858
       1 | 7011702
       1 | 704640
       1 | 707356
       1 | 711402
       1 | 711695
       1 | 715333
       1 | 715551
       1 | 715885
       1 | 733947
       1 | 8142793
       1 | 8145153
       1 | 821243
       1 | 8238082
       1 | 8727148
       1 | 9266052
       1 | 938701
       1 | 9711721
       1 | 9715148
       1 | 9857757
-----------------------------------------------------
     757 | TOTAL LINES
